keyword,tweet
gojek,Lah ini gojek daerah mana nih bawa glock?
gojek,@tubirfess kalo ngga mau satu tempat sama mereka ya lo naik gojek/gocar/grab aja lah
gojek,"dan ongkir minimum  yang diterima driver juga paling murah
shopeefood 6400
grab 7200
gojek 8000

kenapa tau? karena aku seorang driver ojol :)"
gojek,@Ordinaryjhonny baru kmrn nyoba syopifud emg lebih murah dari grab dan gojek. dari order makanan hbis 37rb jadi cuma 10.500 kwkw apa krna baru pertama pake yaa?
gojek,"Bangsat, lu kalau mau nyaman ya bawa kendaraan sendiri aja anjg. Atau naik taxi, gojek, grab. Udahlah naik transum, banyak protes najis"
gojek,@cassiocpeia @gtauadasiapadmn ya lagian aneh bgt si gojek masa sebagai pengguna yang bayar dikasih rating dah
gojek,@MitraGrabID @adnardn @jaywijaya9310 Klarifikasi ke kantor gojek juga lah. Urusan rejeki orang ini
gojek,@Kalidraverse kalo di cafe gitu req begitu mungkin bisa kali ya. tapi klo beli ke gojek mana bisaa ? ntar klo uda doyan deh nyoba dari yang lain. ini buat ku belajar2 WKWWKWK
gojek,Slalu kasih notes ke gojek kalau makanan dititip satpam kos. Karena semenit berharga buat mereka.
gojek,"@Ordinaryjhonny fyi dari kemarin sempet lewat thread, kalo sopifud memang lebih murah, tapi potongannyan itu dibebankan ke toko/seller, sedangkan grab gojek ngga"
gojek,"Malamm butuh nokos?
Nala open sampai jam 2, fastrespon di wa yaa
– Nokos wa, gojek, shopee,
kopken, qpon, grab, dana,
fore, lazada, tomoro,
classpass, tokopedia,
bumble, tiktok, weibo,
janji jiwa, akulaku, dll, semuaaa app

(Bisa Verif Dulu, Bayar Akhir)
Adaa Qriss
#zonauang"
gojek,"@txtdrkuliner Bisa tahan max 3 hari, alasanya lebih hemat kalau langsung beli banyak di grab/gojek/aplikasi kopken."
gojek,"Ready nokos guys!! Bisa untuk all apk ya. Bisa Claude ai, gojek, wa, grab, shopee, tokped, kopken, qpon, taobao, janji jiwa, tomoro, tiktok, fore, KFC, Gmail, dll. Cuss klik link di bio untuk order. Testi bisa liat di pinned 

#zonauang"
gojek,"ga sopan banget masukin orang random ke base. namanya jg transportasi umum tolol, kalo mau nyaman pakai kendaraan pribadi atau grab, gojek, taxi kan ada"
gojek,"Memang... tapi kadang suka dapet voucher sekian persen juga sih dari grab, kalo dari gojek jarang bgt dapet"
gojek,"ada yg marah2 sm pegawai KAI
ada yg marah2 sm abang gojek 
ada yg marah2 sm pedagang

berisik ya lu sesama kelas bawah 
dasar miskin, miskin akhlak lo semua

sama influencer aja lu subscribe konten exclusive"
gojek,"org2 tuh pada tau bare minimum naik gojek ga sih i mean ojolnya jg nyari duitt kok bs seenaknya gt dh, mau cepet yaa naik motor sendiriii njirr"
gojek,"@Ordinaryjhonny kalo akun gojek nya wangi, murahan gofood kak"
gojek,"setelah pegawai KAI, gojek hemat,  lalu ini. orang orang pada knp dah?"
gojek,"pake fitur hemat/reguler tergantung mindset sih. soale nek pemikiran cerdasku sih ngene, asal jarak dekat aku bakal pilih gojek/grab hemat. lalu selisih ongkosnya bisa dikasihin ke driver lewat fitur ""beri tip"""
gojek,bangun pagi ga sudi naik gojek juga ga sudi huf
gojek,"@aishiteRIE2124 huhu kasian jadi abang gojeknyaa.Nah biar ngeramein abang gojeknya aku ada promo gojek yang super murcee dijamin ga bikin kantong kalian jeboll. Gas klaim
GOJEKFAJAR(promo gofood,goride/car)
GOWEEKEND
GOSTASIUN
COBAINGOJEK
biar makin hemat jan lupa di combo GOJEKPLUS guys https://t.co/o8QMcmoDSO"
gojek,"berisik lu, pesen aja gojek sana"
gojek,"@jamban9 Kini ko bermula dari tiktok,
Mmg gadang cuan nyo disitu

Potongan gift jo lah ampia samo pulo jo gojek persentase nyo😁 gacor"
gojek,"@Cetepbebek wahhh kerenn bgt kakk. wajib ditiru sihh. Nah biar ojol kalian makin murah aku ada promo gojek yang super murcee dijamin ga bikin kantong kalian jeboll. Gas klaim
GOJEKFAJAR(promo gofood,goride/car)
GOWEEKEND
GOSTASIUN
COBAINGOJEK
biar makin hemat jan lupa di combo GOJEKPLUS guys https://t.co/Ho6Kr71cww"
gojek,@24xJam dan mau gk mau gojek ni ngadih uang 100 ribu padahal kata bapak tu kak saya baru keluar rumah
gojek,@24xJam yg gongnya mamanya liat anaknya yg salah asal lari aja nyeberang gitu eh yg di salahin gojek ni terus mintak uang pengobatan padahal ni anak gk kenapa napa di tabrak pun enggak tp mamanya mintak uang pengobatan udah anaknya yg lasak kali jadi org is amit amit kali
gojek,"@muncorner Tidur, hemat duit, hemat waktu (scroll shopee sama gojek lama banget). Kalo udh aslam gw milih minum obat dan tidur kembali (jangan ditiru)"
gojek,"@Ordinaryjhonny Ih menurut aku murahan gojek. sering2 deh cek resto mahal yg km ga kepikiran buat gofud… DISKONNYA GEDE BGT BJROT. Ex: sushi hiro, abuba, suck my duck, etc. Kalo buat group order pas bgt karena jd murah per orangnya🙂‍↕️🙂‍↕️ ga jarang jg payakumbuah 50rb berdua. https://t.co/PfMuimBSBO"
gojek,"@24xJam aduh ingat ini jadi ingat kejadian dulu pulang kuliah naik ojek online terus di gg ku ni ada anak anak ha ni anak lasaknya naujubila x, terus dia keluar rumahnya langsung main lari aja dan gojek ni lewat posisi aku penumpangnya sepontan lah ngerem mendadak tp ni anak gapapa -"
gojek,"apa susahnya pesen pas emg udh diluar? gojek ga akan selama itu dateng, sedangkan elu masih ngantri. https://t.co/cnMuHc9GFA"
gojek,@knockedheart cieeee boncengan pas lagi ujan ujannn sama mamang gojek
