keyword,tweet,clean_tokens,clean_text,lex_score,lex_label,ml_label
gojek,Lah ini gojek daerah mana nih bawa glock?,"['gojek', 'daerah', 'nih', 'bawa', 'glock']",gojek daerah nih bawa glock,0.0,neutral,neutral
gojek,@tubirfess kalo ngga mau satu tempat sama mereka ya lo naik gojek/gocar/grab aja lah,"['ngga', 'ya', 'lo', 'gojekgocargrab']",ngga ya lo gojekgocargrab,0.0,neutral,neutral
gojek,"dan ongkir minimum  yang diterima driver juga paling murah
shopeefood 6400
grab 7200
gojek 8000

kenapa tau? karena aku seorang driver ojol :)","['ongkir', 'minimum', 'terima', 'driver', 'murah', 'shopeefood', '6400', 'grab', '7200', 'gojek', '8000', 'tau', 'driver', 'ojol']",ongkir minimum terima driver murah shopeefood 6400 grab 7200 gojek 8000 tau driver ojol,-1.0,negative,negative
gojek,@Ordinaryjhonny baru kmrn nyoba syopifud emg lebih murah dari grab dan gojek. dari order makanan hbis 37rb jadi cuma 10.500 kwkw apa krna baru pertama pake yaa?,"['kmrn', 'nyoba', 'syopifud', 'emg', 'murah', 'grab', 'gojek', 'order', 'makan', 'hbis', '37rb', '10500', 'kwkw', 'krna', 'pake', 'yaa']",kmrn nyoba syopifud emg murah grab gojek order makan hbis 37rb 10500 kwkw krna pake yaa,-1.0,negative,negative
gojek,"Bangsat, lu kalau mau nyaman ya bawa kendaraan sendiri aja anjg. Atau naik taxi, gojek, grab. Udahlah naik transum, banyak protes najis","['bangsat', 'lu', 'nyaman', 'ya', 'bawa', 'kendara', 'anjg', 'taxi', 'gojek', 'grab', 'udahlah', 'transum', 'protes', 'najis']",bangsat lu nyaman ya bawa kendara anjg taxi gojek grab udahlah transum protes najis,0.0,neutral,neutral
gojek,@cassiocpeia @gtauadasiapadmn ya lagian aneh bgt si gojek masa sebagai pengguna yang bayar dikasih rating dah,"['ya', 'aneh', 'bgt', 'si', 'gojek', 'guna', 'bayar', 'kasih', 'rating', 'dah']",ya aneh bgt si gojek guna bayar kasih rating dah,0.0,neutral,neutral
gojek,@MitraGrabID @adnardn @jaywijaya9310 Klarifikasi ke kantor gojek juga lah. Urusan rejeki orang ini,"['klarifikasi', 'kantor', 'gojek', 'urus', 'rejeki', 'orang']",klarifikasi kantor gojek urus rejeki orang,0.0,neutral,neutral
gojek,@Kalidraverse kalo di cafe gitu req begitu mungkin bisa kali ya. tapi klo beli ke gojek mana bisaa ? ntar klo uda doyan deh nyoba dari yang lain. ini buat ku belajar2 WKWWKWK,"['cafe', 'gitu', 'req', 'kali', 'ya', 'beli', 'gojek', 'bisaa', 'ntar', 'uda', 'doyan', 'deh', 'nyoba', 'ku', 'belajar2', 'wkwwkwk']",cafe gitu req kali ya beli gojek bisaa ntar uda doyan deh nyoba ku belajar2 wkwwkwk,0.0,neutral,neutral
gojek,Slalu kasih notes ke gojek kalau makanan dititip satpam kos. Karena semenit berharga buat mereka.,"['slalu', 'kasih', 'notes', 'gojek', 'makan', 'titip', 'satpam', 'kos', 'menit', 'harga']",slalu kasih notes gojek makan titip satpam kos menit harga,0.0,neutral,neutral
gojek,"@Ordinaryjhonny fyi dari kemarin sempet lewat thread, kalo sopifud memang lebih murah, tapi potongannyan itu dibebankan ke toko/seller, sedangkan grab gojek ngga","['fyi', 'kemarin', 'sempet', 'thread', 'sopifud', 'murah', 'potongannyan', 'beban', 'tokoseller', 'grab', 'gojek', 'ngga']",fyi kemarin sempet thread sopifud murah potongannyan beban tokoseller grab gojek ngga,-1.0,negative,negative
